reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
33abac57-e9a4-4a8a-8441-861d9c7158b8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya coba dulu ya bagus apa tidak jasa kurir nya,3,0,2.23.0,2025-04-12 05:48:49,,,2.23.0
2b8d5590-4e94-47b9-ab2c-5f2075a2ca41,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baru coba layanan paxel hari ini semoga besok aman sampai tujuan,5,0,2.23.0,2025-04-12 02:26:03,,,2.23.0
cec769f1-b6ac-423d-9b02-387209cbfd2b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sy msh ada kesulitan ketik nama di kolom pnerima n pengirim,4,0,2.23.0,2025-04-11 22:57:42,,,2.23.0
7f21ec94-6198-462b-bf3c-6188cda269d8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kurirnya lamaaa bangettt,2,0,,2025-04-11 12:12:08,,,
e029a810-0925-455a-9238-cf542a399a09,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,paxel tepat waktu,5,0,2.23.0,2025-04-11 10:08:11,,,2.23.0
90a1bc4c-39f0-474e-9fee-ffdac13c4eeb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ok,5,0,2.23.0,2025-04-11 02:55:04,"Terima kasih Kak Khaira, atas rating yang kakak berikan! Kami sangat menghargai apresiasi Kakak dan akan terus berupaya memberikan pelayanan yang lebih baik. Jika ada kendala atau hal lain yang ingin disampaikan, silakan hubungi DM Instagram Paxel atau percakapan HERA di aplikasi/website Paxel.",2025-04-11 08:08:23,2.23.0
aa49204b-4b8e-49bc-9826-d318e208b034,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sangat membantu untuk pengiriman kue kering ke luar kota, trimakasih paxel, semoga ke depannya bs lebih oke lg",5,0,2.22.5,2025-04-10 21:16:01,"Terima kasih Kak Bramanti, atas rating yang kakak berikan! Kami sangat menghargai apresiasi Kakak dan akan terus berupaya memberikan pelayanan yang lebih baik. Jika ada kendala atau hal lain yang ingin disampaikan, silakan hubungi DM Instagram Paxel atau percakapan HERA di aplikasi/website Paxel.",2025-04-11 08:08:51,2.22.5
ae5811fe-f306-46d7-86d8-94d297ccd535,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lemot,1,0,,2025-04-10 09:58:10,"Terima kasih Kak Assary, telah meluangkan waktu untuk menceritakan kendala yang dialami. Kami belum menemukan kecocokan username Kakak di database kami. Untuk membantu lebih lanjut, Kakak bisa menghubungi kami melalui DM Instagram Paxel atau website paxel.co/aplikasi Paxel.",2025-04-11 08:13:11,
47486e64-d9e8-4460-916f-405ee655180b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap tepat waktu ngk ada yg rusah,5,0,2.22.5,2025-04-10 06:03:35,"Terima kasih Kak Rahayu, atas rating yang kakak berikan! Kami sangat menghargai apresiasi Kakak dan akan terus berupaya memberikan pelayanan yang lebih baik. Jika ada kendala atau hal lain yang ingin disampaikan, silakan hubungi DM Instagram Paxel atau percakapan HERA di aplikasi/website Paxel.",2025-04-11 08:09:02,2.22.5
90e3254f-746b-46e8-ae01-1dd5ab8b71c0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,rekomendasi make paxel kiriman nya cepet,5,0,,2025-04-10 02:10:30,"Terima kasih Kak Fadly, atas rating yang kakak berikan! Kami sangat menghargai apresiasi Kakak dan akan terus berupaya memberikan pelayanan yang lebih baik. Jika ada kendala atau hal lain yang ingin disampaikan, silakan hubungi DM Instagram Paxel atau percakapan HERA di aplikasi/website Paxel.",2025-04-11 08:09:14,
